session_id,search_index,session_start_timestamp,session_start_date,group,results,num_clicks,first_click
0007b7f6b575feb6,1,20160303165629,2016-03-03T16:56:29Z,a,20,0,NA
005e7c80dd3771ab,1,20160305144319,2016-03-05T14:43:19Z,a,0,0,NA
0099d629e7a2feec,1,20160303102653,2016-03-03T10:26:53Z,b,20,0,NA
009f85ff9e749ee9,1,20160301133213,2016-03-01T13:32:13Z,b,20,0,NA
00c6ee01e4c7b319,1,20160308154236,2016-03-08T15:42:36Z,b,1,0,NA
00d55c8fb80a889f,1,20160303161701,2016-03-03T16:17:01Z,a,20,0,NA
00df53b11b5f83d3,1,20160308022945,2016-03-08T02:29:45Z,a,1,0,NA
00f639fa86bbd6e5,1,20160303160741,2016-03-03T16:07:41Z,a,0,0,NA
00f639fa86bbd6e5,2,20160303160832,2016-03-03T16:08:32Z,a,20,0,NA
0136877d51035033,1,20160304145433,2016-03-04T14:54:33Z,a,20,0,NA
016f0c22ffce97d9,1,20160303091435,2016-03-03T09:14:35Z,b,20,0,NA
017bc27e5fc4472e,1,20160303034346,2016-03-03T03:43:46Z,a,15,0,NA
0186ee2a9d4545f3,1,20160301121821,2016-03-01T12:18:21Z,a,20,0,NA
018815979c559a08,1,20160306193333,2016-03-06T19:33:33Z,a,20,0,NA
01ab1f3eca9237f5,1,20160302075741,2016-03-02T07:57:41Z,a,20,0,NA
01acbd9ac13ee79c,1,20160306091616,2016-03-06T09:16:16Z,a,0,0,NA
01b12743ce954f2c,1,20160306143226,2016-03-06T14:32:26Z,a,20,1,1
01b6bce9e49d2f0e,1,20160304112950,2016-03-04T11:29:50Z,a,0,0,NA
01cafc6f3de30810,1,20160307235703,2016-03-07T23:57:03Z,a,20,0,NA
01e1e7ec4c055da2,1,20160307080640,2016-03-07T08:06:40Z,b,13,0,NA
01f4444b60fd46b7,1,20160306060415,2016-03-06T06:04:15Z,a,20,0,NA
0202a9eadf5796d2,1,20160306063645,2016-03-06T06:36:45Z,a,7,0,NA
023529ed0bd600a3,1,20160308201042,2016-03-08T20:10:42Z,b,16,0,NA
0285cb3328debf9f,1,20160303130245,2016-03-03T13:02:45Z,b,20,1,1
0287be641646ec38,1,20160302213047,2016-03-02T21:30:47Z,a,20,0,NA
0289781494ed21ff,1,20160302171457,2016-03-02T17:14:57Z,a,20,0,NA
0289781494ed21ff,2,20160302171628,2016-03-02T17:16:28Z,a,20,0,NA
02b15a5ffcc0854d,1,20160302130716,2016-03-02T13:07:16Z,a,19,0,NA
02e35b637ad56380,1,20160304200655,2016-03-04T20:06:55Z,b,20,0,NA
